"gpkg", "id", "why"

"MV_Hartola", 29282506, "simulation stopped"


"MV_Korsnas", 3576632, "simulation stopped"
"MV_Korsnas", 3576696, "simulation stopped"
"MV_Korsnas", 3576410, "stand error"
"MV_Korsnas", 3576082, "stand error"
"MV_Korsnas", 3576723, "stand error"


"MV_Parikkala", 24719236, "stand error"
"MV_Parikkala", 24715792, "stand error"


"MV_Raasepori", 29610147, "stand error"
"MV_Raasepori", 29610160, "stand error"

"MV_Simo", 29008600, "stand error"

"MV_Vaala", 19250645, "stand error"
"MV_Vaala", 32442364, "stand error"


"MV_Voyri", 27461796, "simulation stopped"

